Tue May 28 16:00:16 2019    DUMP.txt

         13891224 function calls (13665156 primitive calls) in 9.882 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      481    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
     2405    0.000    0.000    0.000    0.000 inspect.py:2519(default)
      415    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
      481    0.000    0.000    0.000    0.000 __init__.py:105(initialize_soup)
      962    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      962    0.000    0.000    0.000    0.000 __init__.py:160(deprecated_argument)
      481    0.000    0.000    0.000    0.000 inspect.py:2827(parameters)
      481    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
        5    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
      962    0.000    0.000    0.000    0.000 __init__.py:111(reset)
      481    0.000    0.000    0.000    0.000 inspect.py:2831(return_annotation)
        1    0.000    0.000    0.000    0.000 sre_compile.py:598(_code)
      481    0.000    0.000    0.000    0.000 pathlib.py:91(join_parsed_parts)
      9/1    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
        5    0.000    0.000    0.000    0.000 {built-in method nt._isdir}
        1    0.000    0.000    0.000    0.000 data.py:344(open)
      170    0.000    0.000    0.000    0.000 element.py:1033(__setitem__)
      481    0.000    0.000    0.000    0.000 pathlib.py:912(is_absolute)
      481    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 enum.py:809(__or__)
       59    0.000    0.000    0.000    0.000 element.py:67(__new__)
        1    0.000    0.000    0.000    0.000 enum.py:772(_missing_)
        1    0.000    0.000    0.000    0.000 enum.py:779(_create_pseudo_member_)
       12    0.000    0.000    0.000    0.000 __init__.py:310(_check_markup_is_url)
        1    0.000    0.000    0.000    0.000 enum.py:851(_decompose)
       45    0.000    0.000    0.000    0.000 sre_parse.py:960(addgroup)
        1    0.000    0.000    0.000    0.000 pathlib.py:1349(is_file)
        1    0.000    0.000    0.000    0.000 compat.py:226(_decorator)
        1    0.000    0.000    0.000    0.000 data.py:323(__init__)
        1    0.000    0.000    0.000    0.000 enum.py:869(<listcomp>)
        5    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.000    0.000 pathlib.py:1146(stat)
       27    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
       36    0.000    0.000    0.000    0.000 __init__.py:325(<genexpr>)
      9/3    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        4    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
       46    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
        2    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       20    0.000    0.000    0.000    0.000 types.py:164(__get__)
        8    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.000    0.000 punkt.py:210(_re_sent_end_chars)
        5    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        2    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
        9    0.000    0.000    0.000    0.000 enum.py:886(_power_of_two)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:406(__subclasshook__)
       41    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
        1    0.000    0.000    0.000    0.000 ntpath.py:75(join)
        5    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.000    0.000 nturl2path.py:8(url2pathname)
        1    0.000    0.000    0.000    0.000 re.py:252(escape)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        2    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        2    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       14    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       18    0.000    0.000    0.000    0.000 enum.py:602(name)
        1    0.000    0.000    0.000    0.000 enum.py:815(__and__)
        8    0.000    0.000    0.000    0.000 enum.py:834(_high_bit)
       10    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        4    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       10    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        3    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       20    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        3    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 re.py:170(match)
       13    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 ntpath.py:523(abspath)
        2    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        3    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        6    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method nt._getfullpathname}
        1    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
        2    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
        1    0.000    0.000    0.000    0.000 parse.py:599(unquote)
        2    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        2    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        8    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       17    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        2    0.000    0.000    0.000    0.000 enum.py:607(value)
        2    0.000    0.000    0.000    0.000 enum.py:880(<lambda>)
        2    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        2    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.000    0.000 punkt.py:204(__setstate__)
        1    0.000    0.000    0.000    0.000 {method 'groups' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
        1    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


